,,,,,,,,,,,,,,,
ID,Email,Name,Username,Age,Location,Bio,Interests,Profile Picture,Images,Is Premium,Coins,Latitude,Longitude,Verification Status,Phone Verified
1,carol_b80573@example.com,Carol Brown,carol_b80573,46,"San Jose, CA",Painter and movie buff,"Gaming, Art",https://images.pexels.com/photos/16046639/pexels-photo-16046639.jpeg?auto=compress&cs=tinysrgb&h=350,,TRUE,150,37.3382,-121.8863,Not Verified,TRUE
2,maya_g80574@example.com,Maya Garcia,maya_g80574,36,"Phoenix, AZ",Designer who enjoys minimalism,"Hiking, Music",https://images.pexels.com/photos/27992044/pexels-photo-27992044.jpeg?auto=compress&cs=tinysrgb&h=350,,TRUE,200,33.4484,-112.074,Pending,FALSE
3,frank_d80575@example.com,Frank Davis,frank_d80575,24,"Los Angeles, CA",Startup builder and mentor,"Hiking, Photography",https://images.pexels.com/photos/2295744/pexels-photo-2295744.jpeg?auto=compress&cs=tinysrgb&h=350,,TRUE,0,34.0522,-118.2437,Not Verified,TRUE
4,alice_m80576@example.com,Alice Miller,alice_m80576,33,"Los Angeles, CA",Avid traveler and photographer,"Hiking, Travel",https://images.pexels.com/photos/3578424/pexels-photo-3578424.jpeg?auto=compress&cs=tinysrgb&h=350,,TRUE,0,34.0522,-118.2437,Not Verified,TRUE
5,iris_j80577@example.com,Iris Johnson,iris_j80577,23,"Dallas, TX",Designer who enjoys minimalism,"Nature, Music",https://images.pexels.com/photos/4926671/pexels-photo-4926671.jpeg?auto=compress&cs=tinysrgb&h=350,,FALSE,200,32.7767,-96.797,Pending,TRUE
6,iris_w80578@example.com,Iris Williams,iris_w80578,28,"Los Angeles, CA",Tech tinkerer and reader,"Cooking, Travel",https://images.pexels.com/photos/29036443/pexels-photo-29036443.jpeg?auto=compress&cs=tinysrgb&h=350,,FALSE,200,34.0522,-118.2437,Pending,TRUE
7,jack_w80579@example.com,Jack Williams,jack_w80579,42,"San Diego, CA",Loves coffee and coding,"Movies, Food",https://images.pexels.com/photos/33238049/pexels-photo-33238049.jpeg?auto=compress&cs=tinysrgb&h=350,,TRUE,100,32.7157,-117.1611,Pending,TRUE
8,kate_h80580@example.com,Kate Hernandez,kate_h80580,31,"Houston, TX",Startup builder and mentor,"Design, Fitness",https://images.pexels.com/photos/34129727/pexels-photo-34129727.jpeg?auto=compress&cs=tinysrgb&h=350,,TRUE,200,29.7604,-95.3698,Verified,TRUE
9,jack_m80581@example.com,Jack Martinez,jack_m80581,33,"Chicago, IL",Painter and movie buff,"Art, Reading",https://images.pexels.com/photos/4883435/pexels-photo-4883435.jpeg?auto=compress&cs=tinysrgb&h=350,,FALSE,0,41.8781,-87.6298,Verified,TRUE
10,kate_w80582@example.com,Kate Wilson,kate_w80582,34,"San Jose, CA",Loves coffee and coding,"Photography, Travel",https://images.pexels.com/photos/27677514/pexels-photo-27677514.jpeg?auto=compress&cs=tinysrgb&h=350,,TRUE,50,37.3382,-121.8863,Verified,FALSE
11,iris_j80583@example.com,Iris Jones,iris_j80583,33,"San Antonio, TX",Avid traveler and photographer,"Reading, Cooking",https://images.pexels.com/photos/4926692/pexels-photo-4926692.jpeg?auto=compress&cs=tinysrgb&h=350,,TRUE,150,29.4241,-98.4936,Not Verified,TRUE
12,liam_m80584@example.com,Liam Martinez,liam_m80584,51,"Dallas, TX",Avid traveler and photographer,"Movies, Design",https://images.pexels.com/photos/34129724/pexels-photo-34129724.jpeg?auto=compress&cs=tinysrgb&h=350,,FALSE,0,32.7767,-96.797,Verified,FALSE
